,Date,AveragePrice_Mean,t-1,t-2,t-3,t-4,t-5
30.0,2015-05-31,1.0699999999999996,1.0165000000000002,0.972727272727273,1.0233333333333334,1.0024,1.058695652173913
16.0,2015-06-09,1.0165000000000002,0.972727272727273,1.0233333333333334,1.0024,1.058695652173913,1.0113793103448279
3.0,2015-06-12,0.972727272727273,1.0233333333333334,1.0024,1.058695652173913,1.0113793103448279,1.0679999999999996
28.0,2015-06-14,1.0233333333333334,1.0024,1.058695652173913,1.0113793103448279,1.0679999999999996,1.072
27.0,2015-06-21,1.0024,1.058695652173913,1.0113793103448279,1.0679999999999996,1.072,1.0044444444444445
26.0,2015-06-28,1.058695652173913,1.0113793103448279,1.0679999999999996,1.072,1.0044444444444445,1.1089999999999998
29.0,2015-07-06,1.0113793103448279,1.0679999999999996,1.072,1.0044444444444445,1.1089999999999998,1.0168181818181818
23.0,2015-07-19,1.0679999999999996,1.072,1.0044444444444445,1.1089999999999998,1.0168181818181818,1.0957142857142859
22.0,2015-07-26,1.072,1.0044444444444445,1.1089999999999998,1.0168181818181818,1.0957142857142859,1.1075
46.0,2015-08-02,1.0044444444444445,1.1089999999999998,1.0168181818181818,1.0957142857142859,1.1075,1.1004999999999998
42.0,2015-08-03,1.1089999999999998,1.0168181818181818,1.0957142857142859,1.1075,1.1004999999999998,1.0472727272727274
7.0,2015-08-11,1.0168181818181818,1.0957142857142859,1.1075,1.1004999999999998,1.0472727272727274,1.0494736842105266
19.0,2015-08-16,1.0957142857142859,1.1075,1.1004999999999998,1.0472727272727274,1.0494736842105266,1.0305263157894735
18.0,2015-08-23,1.1075,1.1004999999999998,1.0472727272727274,1.0494736842105266,1.0305263157894735,1.0536842105263156
17.0,2015-08-30,1.1004999999999998,1.0472727272727274,1.0494736842105266,1.0305263157894735,1.0536842105263156,1.075625
20.0,2015-09-08,1.0472727272727274,1.0494736842105266,1.0305263157894735,1.0536842105263156,1.075625,1.0170000000000001
15.0,2015-09-13,1.0494736842105266,1.0305263157894735,1.0536842105263156,1.075625,1.0170000000000001,1.0775000000000001
14.0,2015-09-20,1.0305263157894735,1.0536842105263156,1.075625,1.0170000000000001,1.0775000000000001,1.1205263157894736
13.0,2015-09-27,1.0536842105263156,1.075625,1.0170000000000001,1.0775000000000001,1.1205263157894736,1.025
33.0,2015-10-05,1.075625,1.0170000000000001,1.0775000000000001,1.1205263157894736,1.025,1.0199999999999998
10.0,2015-10-18,1.0170000000000001,1.0775000000000001,1.1205263157894736,1.025,1.0199999999999998,1.0645454545454547
9.0,2015-10-25,1.0775000000000001,1.1205263157894736,1.025,1.0199999999999998,1.0645454545454547,1.0786363636363636
50.0,2015-11-01,1.1205263157894736,1.025,1.0199999999999998,1.0645454545454547,1.0786363636363636,1.0723529411764705
11.0,2015-11-10,1.025,1.0199999999999998,1.0645454545454547,1.0786363636363636,1.0723529411764705,1.0647619047619048
6.0,2015-11-15,1.0199999999999998,1.0645454545454547,1.0786363636363636,1.0723529411764705,1.0647619047619048,0.995909090909091
5.0,2015-11-22,1.0645454545454547,1.0786363636363636,1.0723529411764705,1.0647619047619048,0.995909090909091,1.0763636363636362
4.0,2015-11-29,1.0786363636363636,1.0723529411764705,1.0647619047619048,0.995909090909091,1.0763636363636362,1.0533333333333332
37.0,2015-12-04,1.0723529411764705,1.0647619047619048,0.995909090909091,1.0763636363636362,1.0533333333333332,0.8966666666666668
24.0,2015-12-07,1.0647619047619048,0.995909090909091,1.0763636363636362,1.0533333333333332,0.8966666666666668,1.078
2.0,2015-12-13,0.995909090909091,1.0763636363636362,1.0533333333333332,0.8966666666666668,1.078,1.0459999999999998
1.0,2015-12-20,1.0763636363636362,1.0533333333333332,0.8966666666666668,1.078,1.0459999999999998,1.035
0.0,2015-12-27,1.0533333333333332,0.8966666666666668,1.078,1.0459999999999998,1.035,1.27
34.0,2016-01-05,0.8966666666666668,1.078,1.0459999999999998,1.035,1.27,1.0183333333333333
49.0,2016-01-17,1.078,1.0459999999999998,1.035,1.27,1.0183333333333333,1.0533333333333332
48.0,2016-01-24,1.0459999999999998,1.035,1.27,1.0183333333333333,1.0533333333333332,1.0166666666666666
47.0,2016-01-31,1.035,1.27,1.0183333333333333,1.0533333333333332,1.0166666666666666,1.002
12.0,2016-02-10,1.27,1.0183333333333333,1.0533333333333332,1.0166666666666666,1.002,1.0116666666666665
45.0,2016-02-14,1.0183333333333333,1.0533333333333332,1.0166666666666666,1.002,1.0116666666666665,1.26
44.0,2016-02-21,1.0533333333333332,1.0166666666666666,1.002,1.0116666666666665,1.26,1.0050000000000001
43.0,2016-02-28,1.0166666666666666,1.002,1.0116666666666665,1.26,1.0050000000000001,1.0283333333333333
51.0,2016-03-01,1.002,1.0116666666666665,1.26,1.0050000000000001,1.0283333333333333,1.02
38.0,2016-03-04,1.0116666666666665,1.26,1.0050000000000001,1.0283333333333333,1.02,1.1666666666666667
25.0,2016-03-07,1.26,1.0050000000000001,1.0283333333333333,1.02,1.1666666666666667,1.2883333333333333
41.0,2016-03-13,1.0050000000000001,1.0283333333333333,1.02,1.1666666666666667,1.2883333333333333,0.9733333333333333
40.0,2016-03-20,1.0283333333333333,1.02,1.1666666666666667,1.2883333333333333,0.9733333333333333,0.9383333333333331
39.0,2016-03-27,1.02,1.1666666666666667,1.2883333333333333,0.9733333333333333,0.9383333333333331,1.17
16.0,2016-04-09,1.1666666666666667,1.2883333333333333,0.9733333333333333,0.9383333333333331,1.17,0.9640000000000001
3.0,2016-04-12,1.2883333333333333,0.9733333333333333,0.9383333333333331,1.17,0.9640000000000001,0.982
36.0,2016-04-17,0.9733333333333333,0.9383333333333331,1.17,0.9640000000000001,0.982,1.1099999999999999
35.0,2016-04-24,0.9383333333333331,1.17,0.9640000000000001,0.982,1.1099999999999999,1.08
29.0,2016-05-06,1.17,0.9640000000000001,0.982,1.1099999999999999,1.08,1.574
32.0,2016-05-15,0.9640000000000001,0.982,1.1099999999999999,1.08,1.574,1.2033333333333334
31.0,2016-05-22,0.982,1.1099999999999999,1.08,1.574,1.2033333333333334,1.2066666666666668
30.0,2016-05-29,1.1099999999999999,1.08,1.574,1.2033333333333334,1.2066666666666668,0.9550000000000001
42.0,2016-06-03,1.08,1.574,1.2033333333333334,1.2066666666666668,0.9550000000000001,1.3833333333333335
7.0,2016-06-11,1.574,1.2033333333333334,1.2066666666666668,0.9550000000000001,1.3833333333333335,1.3333333333333333
27.0,2016-06-19,1.2033333333333334,1.2066666666666668,0.9550000000000001,1.3833333333333335,1.3333333333333333,1.3866666666666667
26.0,2016-06-26,1.2066666666666668,0.9550000000000001,1.3833333333333335,1.3333333333333333,1.3866666666666667,1.4266666666666667
46.0,2016-07-02,0.9550000000000001,1.3833333333333335,1.3333333333333333,1.3866666666666667,1.4266666666666667,0.8500000000000001
20.0,2016-07-08,1.3833333333333335,1.3333333333333333,1.3866666666666667,1.4266666666666667,0.8500000000000001,1.2566666666666668
23.0,2016-07-17,1.3333333333333333,1.3866666666666667,1.4266666666666667,0.8500000000000001,1.2566666666666668,1.1475
22.0,2016-07-24,1.3866666666666667,1.4266666666666667,0.8500000000000001,1.2566666666666668,1.1475,1.1875
